Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Parking Blu,1414,Parking Blu,Parking Blu,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA25786,B2B,,1414.0,Parking Blu,"Via Consorzio Focense, 47",Focene,00054,IT,Bosch,"via consorzio focense, 47 focene",Parking Blu,"Via Consorzio Focense, 47",Focene,IT,12.221209,41.804392,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4903&locale=en,24 hours: 19 \\u20ac    48 hours: 33 \\u20ac    72 hours: 46\\u20ac    ,24 hours: 19 \\u20ac    48 hours: 33 \\u20ac    72 hours: 46\\u20ac    ,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1413,"1004, 1007, 1011, 1101, 1017, 1019, 1012, 1009, 1302, 1020, 1006, 1013, 1014, 1016, 1251, 1301, 1003"
Parking BSH Tournan en Brie,1002,Parking BSH Tournan en Brie,Parking BSH Tournan en Brie,1157.0,Vlantana,NDH554,B2B,,1002.0,Parking BSH Tournan en Brie,7 Rue Auguste Perdonnet,TOURNAN EN BRIE,77220,FR,Bosch,7 rue auguste perdonnet tournan en brie,Parking BSH Tournan en Brie,7 Rue Auguste Perdonnet,TOURNAN EN BRIE,FR,2.78247,48.73861,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4854&locale=en,"12 hours: 19,20 €    24 hours: 31,20 €    \r\n48 hours:  52,80 €    per addtional hour: 3,60 €","12 hours: 16 €    24 hours: 26,00 €    \r\n48 hours:  44,00 €    per addtional hour: 3 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1001,"1015, 1004, 1011, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1152, 1251, 1301"
PARKING LA ROCA,8902,PARKING LA ROCA,PARKING LA ROCA,3893.0,TAS Logistyka sp. z o.o. ,WZY32675,B2B,,,,,,,,, ,Testareal,,,,8.666247,49.1964278,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4707&locale=en,,,no,no,Bosch,,
Parking Marcotrans,1656,Parking Marcotrans,Parking Marcotrans,1381.0,Nexways Cargo kft.,AADX123,B2B,,1656.0,Parking Marcotrans,Uslugowa 6,Stargard,73-110,PL,Bosch,uslugowa 6 stargard,Parking Marcotrans,Uslugowa 6,Stargard,PL,15.01005822,53.34894514,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4917&locale=en,12 hours: 10 €    24 hours: 12 €    48 hours: 24 €,12 hours: 10 €    24 hours: 12 €    48 hours: 24 €,no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1655,"1004, 1011, 1101, 1017, 1019, 1009, 1008, 1302, 1020, 1013, 1005, 1002, 1014, 1016, 1251, 1301, 1003"
Parking Nowa Wieś Wrocławska,1856,Parking Nowa Wieś Wrocławska,Parking Nowa Wieś Wrocławska,305.0,LOG-IN CZ s.r.o.,6E71118,B2B,,1856.0,Parking Nowa Wieś Wrocławska,Relaksowa 40,Nowa Wieś Wrocławska,55-080,PL,Bosch,relaksowa 40 nowa wieś wrocławska,Parking TIR Nowa Wieś Wrocławska,Relaksowa 40,Nowa Wieś Wrocławska,PL,16.90184859,51.04128303,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5773&locale=en,1h: 3.50€    12h: 12.00€    24h: 15.00€    48h: 30.00€    9h: 10.00€    72h: 40.00€    ,1h: 3.50€    12h: 12.00€    24h: 15.00€    48h: 30.00€    9h: 10.00€    72h: 40.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=10101,"1007, 1101, 1017, 1012, 1014"
Parking S8 Olesnica,1902,Parking S8 Olesnica,Parking S8 Olesnica,,,MTZ067,B2B,,1902.0,Parking S8 Olesnica,Cieśle 57,Oleśnica,56-400,PL,Bosch,cieśle 57 oleśnica,Parking S8 Olesnica,Cieśle 57,Oleśnica,PL,17.4755,51.22761,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4939&locale=en,"1 hour: 4,24 €     12 hours: 9,19 €    24 hours: 17,68 €    48 hours: 31,12 €","1 hour: 3,45 €     12 hours: 7,48 €    24 hours: 14,38 €    48 hours: 25,33 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1901,"1004, 1007, 1011, 1017, 1012, 1302, 1020, 1013, 1014, 1152, 1301, 1700033"
PARKING TIR Krzywa,1956,PARKING TIR,PARKING TIR,1304.0,Lorenc Logistic Polska Sp. z o.o.,P4NIKO,B2B,,1956.0,Parking TIR Krzywa,Krzywa,Gromadka,59-706,PL,Bosch,krzywa gromadka,Parking TIR Krzywa,Krzywa,Gromadka,PL,15.729767,51.308229,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4942&locale=en,"4 hours: 6,15 €    9 hours: 11,07 €    24 hours: 17,22 €    48 hours: 34,44 €","4 hours: 5,00 €    9 hours: 9,00 €    24 hours: 14,00 €    48 hours: 28,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1955,"1004, 1007, 1011, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1016, 1152, 1251, 1301"
ParkMyTruck Clermont-Ferrand,7252,ParkMyTruck Clermont-Ferrand,ParkMyTruck Clermont-Ferrand,2808.0,UAB Transrapidus Plius ,NEB606,B2B,,7252.0,ParkMyTruck Clermont-Ferrand,"3, Boulevard Danielle Mittarand",Cournon-d'Auvergne,63800,FR,Bosch,"3, boulevard danielle mittarand cournon-d'auvergne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNY Markt Kronau,5552,PENNY Markt Kronau,PENNY Markt Kronau,305.0,LOG-IN CZ s.r.o.,7E55261,B2B,,5552.0,PENNY Markt Kronau,Am Autobahnzubringer 10,Kronau,76709,DE,Bosch,am autobahnzubringer 10 kronau,PENNY Markt Kronau,Am Autobahnzubringer 10,Kronau,DE,8.6105792,49.2247473,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5730&locale=en,12h: 15.00€    24h: 25.00€    48h: 40.00€    ,12h: 15.00€    24h: 25.00€    48h: 40.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=8701,"1101, 1019, 1012, 1014"
Premium Parking Hohenhameln,614,Truck Parking Mehrum,Truck Parking Mehrum,1380.0,SCG Dominik Ledzion,WPR1531T,B2B,,614.0,Truck Parking Mehrum,Ackerköpfe 10,Hohenhameln,31249,DE,Bosch,ackerköpfe 10 hohenhameln,Truck Parking Mehrum,Ackerköpfe 10,Hohenhameln,DE,10.10712331,52.31271108,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4999&locale=en,12h: 14.90€    24h: 17.90€    ,12h: 14.90€    24h: 17.90€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2251,"1007, 1101, 1017, 1012, 1005, 1014"
