feature,importance
nearest_station_dist_km,0.21093726379019137
hour,0.162544857288052
latitude,0.1435504778809111
longitude,0.0910657221733609
weekday,0.0907926644445138
temperature,0.08059211202433869
road_number,0.0725451008920947
capacity,0.039366243181878466
sv_share,0.03317798680946813
kfz_total,0.023518197988305168
sv_total,0.02344529794211944
station_id,0.019826286497496265
rain,0.008637789087269938
