parkplatz_id,latitude,longitude,nearest_station_id,nearest_station_dist_km,station_id,road_class,road_number,road_suffix,station_lat,station_lon
DE-HE-450025,50.34691,8.929494,6904,4.693487795166032,6904,A,45,,50.30842843143322,8.956661891667599
DE-BY-000003,49.99862,9.2454,9010,1.22859855624146,9010,A,3,,50.00219934285905,9.229137559160515
DE-BW-005515,49.46392,8.64555,8005,0.17829358719029625,8005,A,5,,49.46538738444395,8.644555483603735
DE-HE-440007,51.311584,9.29404,6588,5.255158336854392,6588,B,450,,51.30423309475116,9.219359269099202
DE-RP-000135,49.594624,8.287751,7224,1.028336407640305,7224,A,61,,49.603863407318705,8.288367335327365
DE-BW-005540,49.161533,8.569823,8019,2.0160197989007322,8019,A,5,,49.178795255821704,8.578301469318681
DE-HE-450030,50.19867,9.005704,6702,2.5153447588332347,6702,A,45,,50.176754704398114,9.014459978484727
DE-BY-000434,49.28807,12.140592,9902,3.606299920769261,9902,A,93,,49.31919087979225,12.154592379219537
DE-NW-000042,51.265793,7.248836,5172,3.66413522640192,5172,A,1,,51.297712430169504,7.261922768703612
DE-BY-000030,49.773495,9.716129,9511,0.09749106195477414,9511,A,3,,49.7737567605741,9.714833307577752
DE-MV-200017,54.0542,12.628889,1609,7.033283899047843,1609,A,20,,54.012305825466946,12.54820251701446
DE-BY-000143,49.25894,10.546457,9751,2.6511756818781578,9751,A,6,,49.262812864060834,10.510408360846498
DE-NW-000079,51.606388,7.735554,5145,0.9672796263257676,5145,A,2,,51.60379859174504,7.722182716869679
DE-BY-000397,48.617214,12.28501,9017,13.636315202117133,9017,A,92,,48.569963104765286,12.11390851644161
DE-BY-000404,48.69052,12.653704,9019,0.44961859901843715,9019,A,92,,48.68853539991652,12.648367283677398
DE-SL-000032,49.483704,6.374472,402,0.3591503054180476,402,A,8,,49.48119826490521,6.371335008238228
DE-RP-000031,50.446003,7.688509,7130,1.920992785460934,7130,A,48,,50.44392794054742,7.661577009759677
DE-BW-006050,49.1933,9.106112,8160,5.977306724622533,8160,A,6,,49.18825905159452,9.188001492782409
DE-BW-005070,48.65873,8.036264,8525,5.526353808887504,8525,B,3,,48.60903044359956,8.036138890616943
DE-BY-000421,50.028843,12.118578,9153,10.748729745022283,9153,B,303,,50.08483190597255,12.241314478718794
DE-NW-000320,51.02496,6.851728,5048,4.586040715159003,5048,A,1,,51.00823914432763,6.911657960514015
DE-NW-000292,51.295895,7.21441,5044,2.07410907067015,5044,A,46,,51.30762142151054,7.2376113231832635
DE-BY-008617,47.767902,12.934672,9032,0.4617987131009087,9032,A,8,,47.76833120321137,12.94081782786077
DE-RP-000043,50.315605,7.336002,7033,6.051700376894289,7033,B,256,,50.3494912904119,7.269284727469175
DE-BY-000474,48.12432,11.757328,9213,1.0554351599535146,9213,A,99,,48.13373583585648,11.759122890537283
DE-TH-004071,50.877922,11.666358,4357,3.168370957828887,4357,A,4,,50.87480842810837,11.71124447696334
DE-SN-000066,51.21909,14.871857,4209,3.663589771507812,4209,B,115,,51.21526311617079,14.924101517535934
DE-BY-000274,49.99389,11.168251,9306,15.9753139229349,9306,A,73,,50.0635261439153,10.972634205093554
DE-SN-000037,50.40988,12.038229,4109,2.8525564932226355,4109,A,72,,50.39688166056285,12.003529416472963
DE-BE-000002,52.500942,13.277495,2003,0.5539956264707157,2003,A,100,,52.49725522846316,13.28299969935505
DE-BB-364905,52.31204,13.95233,3608,8.508220715437805,3608,A,12,,52.334654982384365,14.071926277660243
DE-BW-004461,48.51068,9.833657,8068,3.4057023928177634,8068,A,8,,48.51927868739086,9.789280015112654
DE-NW-000313,51.312088,6.632403,5088,3.5310306152277113,5088,A,57,,51.2805702723481,6.638603164257149
DE-SL-000003,49.505157,6.993234,177,3.3729683635064234,177,A,1,,49.476400963293436,6.978369514450461
DE-SL-000021,49.570126,7.252817,7128,1.5027924820653902,7128,A,62,,49.575892795903926,7.233968558319652
DE-BW-007510,48.984257,10.195998,8827,15.928234835462305,8827,B,290,,49.09951111849659,10.066229825572394
DE-BB-364601,52.318024,13.496687,2013,9.497998371488553,2013,A,113,,52.402172445473,13.520706977863291
DE-BW-005165,47.707623,7.525573,8053,3.738860617096086,8053,A,5,,47.67402344503105,7.523655601729881
DE-SN-000012,50.821648,13.886645,4122,1.9151762957982468,4122,A,17,,50.80480187236815,13.880969613434802
DE-NW-000014,52.099957,7.676586,5170,3.352440793830806,5170,A,1,,52.12191834187296,7.710220417107717
DE-BY-000357,49.64661,11.436138,9536,10.471162988579243,9536,A,9,,49.72809456856979,11.5090994668511
DE-NI-292101,53.08876,9.177642,3363,7.231906660475248,3363,B,75,,53.118753313426176,9.273764977079383
DE-SL-000027,49.350445,6.994612,181,1.4943173908084317,181,A,1,,49.34722888500331,7.014641398113627
DE-ST-002050,52.215445763844144,11.081224219831231,3837,5.820037224332611,3837,A,2,,52.207683561354926,11.165699483063047
DE-BB-354301,52.42069,12.924289,3605,3.5738695104981937,3605,A,10,,52.40608916087537,12.87734712296459
DE-TH-009021,50.87027,11.848698,4321,0.6104232207697438,4321,A,9,,50.87571122413919,11.847544932656215
DE-ST-001253,51.780663,11.487595,3860,0.4230642325350537,3860,A,36,,51.78112906449402,11.48149150896721
DE-BW-081650,47.8945,8.70664,8746,0.5610751841865758,8746,A,81,,47.892454530335954,8.713519345234364
DE-NW-000226,51.54839,8.13285,5110,5.866666020794546,5110,A,44,,51.545876525680406,8.04810533093228
DE-NW-000090,51.897774,6.165202,5254,1.4667325742639583,5254,B,8,,51.88879925790395,6.149537865076906
DE-NW-000071,51.792152,8.073599,5102,6.9487194181277525,5102,A,2,,51.817594379158976,8.16590641597111
DE-BY-000265,47.66216,10.420273,9097,4.032164160854107,9097,A,7,,47.679538377477755,10.373009717886145
DE-NI-373204,52.220276,11.053709,3837,7.757417723572641,3837,A,2,,52.207683561354926,11.165699483063047
DE-BY-000316,47.85751,11.856727,9226,3.369510021749783,9226,A,8,,47.832947617571904,11.883169669402287
DE-NW-000324,51.108997,6.920029,5090,2.811328342951446,5090,A,59,,51.133280085507025,6.908813860061763
DE-NW-000060,52.019463,8.633352,5155,1.5267939754477087,5155,A,2,,52.00659136022522,8.625584626197293
DE-BY-000211,49.92685,9.9986,9020,2.049613837066622,9020,A,7,,49.90841870356362,9.998939748292738
DE-SN-000046,50.50725,12.216573,4114,4.65599299516384,4114,A,72,,50.53989995142513,12.257808374789095
DE-MV-200010,53.90878,11.757202,1711,10.461391218767735,1711,B,192,,53.85287306550921,11.628834149907494
DE-SL-000024,49.29973,7.28763,132,0.46688013373547155,132,A,8,,49.301347627055854,7.281688145614093
DE-MV-190021,53.96991,12.196844,1604,3.0762887813185884,1604,A,19,,53.99748291796626,12.200693857197084
DE-BY-008636,48.409622,10.639905,9013,2.183121280170567,9013,A,8,,48.409839996602955,10.610329724663119
DE-HE-500013,50.6227,8.896298,6900,1.0052139663254474,6900,A,5,,50.61846857232081,8.883706620355227
DE-NI-292502,53.03322,9.94711,3412,9.380486832320926,3412,B,71,,52.99626624119805,9.821054380924316
DE-HE-450017,50.591747,8.517788,6404,2.5342345366992873,6404,B,49,,50.57145569740778,8.53413069675126
DE-BY-000379,48.611645,11.54251,9056,4.349823564259233,9056,A,9,,48.58309906702892,11.58295360460458
DE-BY-000149,49.265343,10.691478,9524,4.225716533683835,9524,A,6,,49.25061447747948,10.6378009884192
DE-NW-000132,51.783306,6.9672,5162,3.3080450781046626,5162,A,31,,51.75358203836514,6.9651920725258405
DE-NI-370902,52.28101,7.19805,3498,6.472206645466689,3498,A,31,,52.32649840370564,7.257438036395076
DE-NI-340902,52.52898,7.19721,3454,4.738892165228232,3454,A,31,,52.4868581971882,7.207861819305329
DE-BY-000121,48.67554,13.24306,9628,0.6575061072901297,9628,A,3,,48.67309516472979,13.251213383853676
DE-BY-000264,47.663937,10.416492,9097,3.6891306663532,9097,A,7,,47.679538377477755,10.373009717886145
DE-RP-000134,49.64692,8.292994,7449,2.2072210879646335,7449,A,61,,49.66347512698664,8.27607648603899
DE-TH-004181,50.91289,10.587467,4308,0.5152963378285055,4308,A,4,,50.91522346933849,10.5811166564884
DE-SN-000019,51.206783,14.684632,4123,7.262344040837215,4123,A,4,,51.20775627384156,14.788868199107878
DE-ST-038040,51.401367547876895,11.719455287286316,3928,1.7924995944029123,3928,A,38,,51.405769024671876,11.694596325408227
DE-SN-000062,50.433804,12.13099,4109,9.92067407575058,4109,A,72,,50.39688166056285,12.003529416472963
DE-BY-000349,50.10553,11.702924,9294,7.938982235733353,9294,B,303,,50.06015543071651,11.788829968315687
DE-SH-020204,53.802353,10.671062,1170,6.312951697423035,1170,A,20,,53.84402177355735,10.605735014539416
DE-RP-000127,49.804466,8.051862,7318,4.88464454284406,7318,A,61,,49.77969839283653,8.108062045754039
DE-RP-000162,49.270058,8.152184,7441,1.2758519580191814,7441,A,65,,49.28151465109113,8.153150659725776
DE-BW-005095,48.36623,7.801391,8054,9.684742108458938,8054,A,5,,48.430225649581246,7.890373376651844
DE-BW-005610,48.19947,7.74622,8047,10.428556367487287,8047,A,5,,48.11023836418523,7.789497606039335
DE-BY-000093,49.168224,11.828665,9081,16.67406456353708,9081,A,3,,49.03566575935005,11.935737667967432
DE-BW-081135,48.26447,8.63866,8032,12.546119143018897,8032,A,81,,48.1605303599669,8.572782227538628
DE-BY-000348,50.10519,11.704355,9294,7.83622063194089,9294,B,303,,50.06015543071651,11.788829968315687
DE-HE-500028,49.907337,8.608429,6826,2.557602843422346,6826,A,5,,49.884576714490564,8.603276312737465
DE-NI-005331,51.977642,10.151856,3378,4.988597539689658,3378,B,243,,52.01351070110347,10.108090330991123
DE-BB-002402,52.705116,13.066101,3612,5.304429521971947,3612,A,24,,52.71613765751563,12.989491581639587
DE-BB-444903,51.56864,13.92889,3610,13.099892221344685,3610,A,13,,51.68516824176982,13.900971808548446
DE-BW-081160,47.945713,8.618933,8034,5.7801452587785365,8034,A,864,,47.993980805197154,8.59011187105445
DE-NI-340901,52.52729,7.19907,3454,4.535023762831435,3454,A,31,,52.4868581971882,7.207861819305329
DE-HE-490003,51.191315,9.394012,6603,5.67246493708313,6603,A,7,,51.20894121072094,9.470411019702128
DE-HE-700024,50.624657,9.677928,6876,2.3648186968792335,6876,A,7,,50.60344598802274,9.680364783329209
DE-BY-000125,48.588524,13.366575,9628,12.661278122913886,9628,A,3,,48.67309516472979,13.251213383853676
DE-BW-006565,49.176357,9.400759,8091,0.3426791527652458,8091,A,6,,49.17711612895385,9.405327908646758
DE-NW-000027,51.774067,7.640558,5370,2.4380685490073035,5370,B,54,,51.7725335250017,7.675905862055262
DE-NI-342403,52.50596,9.825498,3437,5.839254987380685,3437,A,7,,52.4577855130582,9.859819317778605
DE-BY-000107,48.932167,12.706934,9295,16.67514861018155,9295,B,8,,48.905735420734196,12.482296162766076
DE-NW-000211,51.5883,8.647659,5351,16.613288954827446,5351,B,68,,51.63634730070144,8.875477058537117
DE-NI-261701,53.35933,8.58491,3343,8.483097400395216,3343,A,27,,53.43559303632026,8.581494547762302
DE-RP-000130,49.712936,8.142852,7447,4.193164355190635,7447,A,61,,49.749927389253365,8.1315169522224
DE-BY-000318,47.905792,11.717632,9171,3.532177714896219,9171,A,8,,47.93634145624798,11.704641875028981
DE-HE-300016,50.0027,8.991597,6908,1.4897861626492654,6908,A,3,,49.99554125418898,9.00921537427409
DE-MV-240017,53.496,11.128524,1612,14.58249624341609,1612,A,24,,53.46328782034,11.341927267778896
DE-NW-000152,50.816936,6.216436,5651,0.6337809237674181,5651,A,4,,50.81414194640601,6.208573139859372
DE-ST-009040,51.607794650516965,12.186946324650531,3896,9.084316353551648,3896,B,183,,51.66189740514189,12.088318737293667
DE-ST-038031,51.4328089194119,11.42360452635482,3913,0.8149451722783749,3913,A,38,,51.43571622911867,11.434396188883865
DE-HE-500030,49.790684,8.618115,6942,1.764769141161782,6942,A,5,,49.80543848139223,8.627173886584439
DE-RP-000124,49.87621,7.955811,7129,3.151867320906421,7129,A,61,,49.85177840645677,7.978107052245201
DE-RP-000137,49.521057,8.310356,7123,4.032361241760063,7123,A,61,,49.48481195320466,8.312153813216291
DE-HE-003216,50.384277,9.73379,6878,10.292991330729805,6878,A,7,,50.475770621447985,9.711725337736762
DE-BY-000207,49.9678,10.03365,9530,3.2802003810136826,9530,A,7,,49.989474659757974,10.064767380952691
DE-HE-660004,50.057472,8.449559,6833,0.8751931982600539,6833,A,66,,50.05542897908567,8.437720014936222
DE-HE-500029,49.90743,8.607072,6826,2.555676008015869,6826,A,5,,49.884576714490564,8.603276312737465
DE-BB-373902,52.250984,12.309836,3810,11.254381176002713,3810,A,2,,52.24389139617436,12.14492997806248
